GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
logistica-service,com.donaton.logistica.enums,EstadoEnvio,0,27,0,0,0,5,0,1,0,1
logistica-service,com.donaton.logistica.client,DonacionClient,77,0,0,0,10,0,2,0,2,0
logistica-service,com.donaton.logistica.client,NecesidadClient,77,0,0,0,10,0,2,0,2,0
logistica-service,com.donaton.logistica.controller,EnvioController,51,0,0,0,9,0,8,0,8,0
logistica-service,com.donaton.logistica.controller,CentroAcopioController,45,0,0,0,8,0,7,0,7,0
logistica-service,com.donaton.logistica.config,RestClientConfig,5,0,0,0,2,0,2,0,2,0
logistica-service,com.donaton.logistica.mapper,CentroAcopioMapper,0,51,0,0,0,19,0,2,0,2
logistica-service,com.donaton.logistica.mapper,EnvioMapper,0,57,0,0,0,21,0,2,0,2
logistica-service,com.donaton.logistica,LogisticaServiceApplication,8,0,0,0,3,0,2,0,2,0
logistica-service,com.donaton.logistica.service,CentroAcopioService,0,109,0,0,0,22,0,9,0,9
logistica-service,com.donaton.logistica.service,EnvioService,0,158,2,6,0,29,2,12,0,10
